gutenberg_id,title,authors,languages,subjects,bookshelves,download_count,copyright
84,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft",en,"Frankenstein's monster (Fictitious character) -- Fiction, Frankenstein, Victor (Fictitious character) -- Fiction, Gothic fiction","Category: British Literature, Category: Classics of Literature, Category: Novels",303668,false
2701,"Moby Dick; Or, The Whale","Melville, Herman",en,"Adventure stories, Ahab, Captain (Fictitious character) -- Fiction, Mentally ill -- Fiction","Best Books Ever Listings, Category: Adventure, Category: American Literature",119658,false
1342,Pride and Prejudice,"Austen, Jane",en,"Courtship -- Fiction, Domestic fiction, England -- Fiction","Best Books Ever Listings, Category: British Literature, Category: Classics of Literature",85862,false
1513,Romeo and Juliet,"Shakespeare, William",en,"Conflict of generations -- Drama, Juliet (Fictitious character) -- Drama, Romeo (Fictitious character) -- Drama","Category: British Literature, Category: Classics of Literature, Category: Plays/Films/Dramas",73678,false
43,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",en,"Horror tales, London (England) -- Fiction, Multiple personality -- Fiction","Category: British Literature, Category: Classics of Literature, Category: Crime, Thrillers and Mystery",66198,false
11,Alice's Adventures in Wonderland,"Carroll, Lewis",en,"Alice (Fictitious character from Carroll) -- Juvenile fiction, Children's stories, Fantasy fiction","Category: British Literature, Category: Children & Young Adult Reading, Category: Classics of Literature",63687,false
100,The Complete Works of William Shakespeare,"Shakespeare, William",en,"English drama -- Early modern and Elizabethan, 1500-1600","Category: British Literature, Category: Classics of Literature, Category: Plays/Films/Dramas",57637,false
8492,The King in Yellow,"Chambers, Robert W. (Robert William)",en,"Horror tales, American, Short stories, American, United States -- Social life and customs -- 19th century -- Fiction","Category: American Literature, Category: Crime, Thrillers and Mystery, Category: Science-Fiction & Fantasy",54653,false
2641,A Room with a View,"Forster, E. M. (Edward Morgan)",en,"British -- Italy -- Fiction, England -- Fiction, Florence (Italy) -- Fiction","Category: British Literature, Category: Novels, Category: Romance",53757,false
145,Middlemarch,"Eliot, George",en,"Bildungsromans, City and town life -- Fiction, Didactic fiction","Best Books Ever Listings, Category: British Literature, Category: Classics of Literature",53611,false
25344,The Scarlet Letter,"Hawthorne, Nathaniel",en,"Adultery -- Fiction, Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction, Clergy -- Fiction","Banned Books from Anne Haight's list, Category: American Literature, Category: Classics of Literature",52774,false
37106,"Little Women; Or, Meg, Jo, Beth, and Amy","Alcott, Louisa May",en,"Autobiographical fiction, Bildungsromans, Domestic fiction","Category: American Literature, Category: Children & Young Adult Reading, Category: Classics of Literature",50651,false
345,Dracula,"Stoker, Bram",en,"Dracula, Count (Fictitious character) -- Fiction, Epistolary fiction, Gothic fiction","Category: British Literature, Category: Classics of Literature, Category: Crime, Thrillers and Mystery",46309,false
16328,Beowulf: An Anglo-Saxon Epic Poem,Unknown,en,"Dragons -- Poetry, Epic poetry, English (Old), Monsters -- Poetry","Category: British Literature, Category: Classics of Literature, Category: Mythology, Legends & Folklore",45256,false
67979,The Blue Castle: a novel,"Montgomery, L. M. (Lucy Maud)",en,"Canada -- History -- 1914-1945 -- Fiction, Choice (Psychology) -- Fiction, Love -- Fiction","Category: Novels, Category: Romance",45022,false
16389,The Enchanted April,"Von Arnim, Elizabeth",en,"British -- Italy -- Fiction, Domestic fiction, Female friendship -- Fiction","Bestsellers, American, 1895-1923, Category: British Literature, Category: Novels",44431,false
2554,Crime and Punishment,"Dostoyevsky, Fyodor",en,"Crime -- Psychological aspects -- Fiction, Detective and mystery stories, Murder -- Fiction","Best Books Ever Listings, Category: Classics of Literature, Category: Crime, Thrillers and Mystery",43493,false
1260,Jane Eyre: An Autobiography,"Brontë, Charlotte",en,"Bildungsromans, Charity-schools -- Fiction, Country homes -- Fiction","Category: British Literature, Category: Classics of Literature, Category: Novels",43410,false
394,Cranford,"Gaskell, Elizabeth Cleghorn",en,"England -- Fiction, Female friendship -- Fiction, Older women -- Fiction","Category: British Literature, Category: Novels",40895,false
2160,The Expedition of Humphry Clinker,"Smollett, T. (Tobias)",en,"Epistolary fiction, Great Britain -- Fiction, Travelers -- Fiction","Best Books Ever Listings, Category: British Literature, Category: Classics of Literature",40505,false
6761,The Adventures of Ferdinand Count Fathom — Complete,"Smollett, T. (Tobias)",en,"Adventure stories, Gothic fiction","Best Books Ever Listings, Category: British Literature, Category: Novels",40286,false
174,The Picture of Dorian Gray,"Wilde, Oscar",en,"Appearance (Philosophy) -- Fiction, Conduct of life -- Fiction, Didactic fiction","Category: British Literature, Category: Classics of Literature, Category: Novels",40087,false
6593,"History of Tom Jones, a Foundling","Fielding, Henry",en,"Bildungsromans, England -- Fiction, Foundlings -- Fiction","Banned Books from Anne Haight's list, Best Books Ever Listings, Category: British Literature",39852,false
1259,Twenty years after,"Dumas, Alexandre, Maquet, Auguste",en,"France -- History -- Louis XIV, 1643-1715 -- Fiction","Adventure, Category: Adventure, Category: French Literature",39501,false
4085,The Adventures of Roderick Random,"Smollett, T. (Tobias)",en,"England -- Fiction, Impressment -- Fiction, Picaresque literature","Best Books Ever Listings, Category: British Literature, Category: Novels",39468,false
5197,My Life — Volume 1,"Wagner, Richard",en,"Composers -- Germany -- Biography, Wagner, Richard, 1813-1883","Category: Biographies, Category: Music",38965,false
2542,A Doll's House : a play,"Ibsen, Henrik",en,"Man-woman relationships -- Drama, Marriage -- Drama, Norwegian drama -- Translations into English","Best Books Ever Listings, Category: Classics of Literature, Category: Plays/Films/Dramas",38765,false
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas,"Dickens, Charles",en,"Christmas stories, Ghost stories, London (England) -- Fiction","Category: British Literature, Category: Classics of Literature, Category: Novels",38570,false
844,The Importance of Being Earnest: A Trivial Comedy for Serious People,"Wilde, Oscar",en,"Comedy plays, England -- Drama, Foundlings -- Drama","Category: British Literature, Category: Plays/Films/Dramas, Plays",37793,false
64317,The Great Gatsby,"Fitzgerald, F. Scott (Francis Scott)",en,"First loves -- Fiction, Long Island (N.Y.) -- Fiction, Married women -- Fiction","Category: American Literature, Category: Classics of Literature, Category: Novels",36990,false
